id,question,reference_answer,student_answer,label
EM.45b.110.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By letting it sit in a dish for a day.,3
EM.45b.113.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Let the water evaporate and the salt is left behind.,0
EM.45b.114.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated and left salt crystals.,0
EM.45b.261.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I saw a pinkish grayish color that was blocking the water.,3
EM.45b.383.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You have to slowly tip the vial for only the water to go.,3
EM.45b.384.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","By pouring the water and salt into the thing, and letting the water evaporate.",0
EM.45b.385.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By slowly pouring it in a tray.,3
EM.45b.395.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated so there was only salt left.,0
EM.45b.402.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water with the salt in it and put it outside for the water to evaporate.,0
EM.45b.416.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,3
EM.45b.418.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Because you can see salt in water.,3
EM.45b.420.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I let the water evaporate.,0
EM.45b.421.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up and left the salt.,0
EM.45b.431.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We let the water evaporate.,0
EM.45b.435.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up.,0
EM.45b.438.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You just get water and the smashed mock rock and put the smashed rock and water together.,3
EM.45b.444.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","You put the water, a little bit, in a cup and leave it overnight.",2
EM.45b.454.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,0
EM.45b.460.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,0
EM.45b.472.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the salt into a Petri dish and poured the water out.,3
EM.45b.474.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By the Petri dish.,3
EM.45b.476.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By putting water in a Petri dish and letting the water evaporate.,0
EM.45b.477.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Poured the top of the vial out.,3
EM.45b.491.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt dissolved and the water evaporated and the salt went to the bottom.,0
EM.45b.497.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put it in a evaporation dish and the water evaporated.,0
EM.45b.502.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put it on the evaporating dish.,0
EM.45b.531.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By pouring the water into the salt.,3
EM.45b.562.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the water out of the bottle.,3
EM.45b.574.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Letting the water evaporate.,0
EM.45b.576.1,You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Put it on a dish and then the water gets in the air and the salt stays.,0
